query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
min/max	P54	What is the smallest team?	['Evagoras Paphos', 'Czech Republic', 'Albania', 'Ayia Napa', 'Hungary']	None	[[]]	0	0
bool	P54	Is UEFA Euro 2016 part of Omonia Aradippou?	['FALSE']	[[1], [2], [7]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy']], [[3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland']], [[6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[9, 'UEFA Euro 2016 team Ukraine']]]	1	1
count	P54	How many teams has UEFA Euro 2016 played for?	[6]	[[1], [3], [5], [6], [7], [9]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy']], [[3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland']], [[6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[9, 'UEFA Euro 2016 team Ukraine']], [[2, 'UEFA Euro 2016 team Italy'], [3, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Italy'], [5, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Italy'], [6, 'UEFA Euro 2016 team Hungary']], [[2, 'UEFA Euro 2016 team Italy'], [9, 'UEFA Euro 2016 team Ukraine']], [[3, 'UEFA Euro 2016 team Albania'], [6, 'UEFA Euro 2016 team Hungary']], [[3, 'UEFA Euro 2016 team Albania'], [9, 'UEFA Euro 2016 team Ukraine']], [[5, 'UEFA Euro 2016 team Switzerland'], [1, 'UEFA Euro 2016 team Czech Republic']], [[5, 'UEFA Euro 2016 team Switzerland'], [3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[5, 'UEFA Euro 2016 team Switzerland'], [9, 'UEFA Euro 2016 team Ukraine']], [[6, 'UEFA Euro 2016 team Hungary'], [9, 'UEFA Euro 2016 team Ukraine']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [2, 'UEFA Euro 2016 team Italy']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [9, 'UEFA Euro 2016 team Ukraine']]]	1	1
set	P54	Who plays for Switzerland?	['UEFA Euro 2016']	[[5]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy']], [[5, 'UEFA Euro 2016 team Switzerland']], [[7, 'UEFA Euro 2016 team Northern Ireland']], [[2, 'UEFA Euro 2016 team Italy'], [1, 'UEFA Euro 2016 team Czech Republic']], [[2, 'UEFA Euro 2016 team Italy'], [3, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Italy'], [5, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Italy'], [6, 'UEFA Euro 2016 team Hungary']], [[2, 'UEFA Euro 2016 team Italy'], [7, 'UEFA Euro 2016 team Northern Ireland']], [[5, 'UEFA Euro 2016 team Switzerland'], [1, 'UEFA Euro 2016 team Czech Republic']], [[5, 'UEFA Euro 2016 team Switzerland'], [3, 'UEFA Euro 2016 team Albania']], [[5, 'UEFA Euro 2016 team Switzerland'], [6, 'UEFA Euro 2016 team Hungary']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [5, 'UEFA Euro 2016 team Switzerland']], [[7, 'UEFA Euro 2016 team Northern Ireland'], [6, 'UEFA Euro 2016 team Hungary']]]	1	1
count	P54	How many teams has 2013 FIA World Endurance Championship played for?	[3]	[[1], [2], [4]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']]]	1	1
set	P54	Who is a member of G-Drive Racing?	[]	None	[[]]	0	0
count	P54	How many people play for OAK Racing?	[1]	None	[[]]	0	0
bool	P54	Is 2013 FIA World Endurance Championship a member of FC Metalurh Donetsk?	['FALSE']	[[1], [2], [5]]	[[], [[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']]]	1	1
bool	P54	Is 2013 FIA World Endurance Championship part of Cofidis?	['FALSE']	[[4], [6], [7]]	[[[1, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[4, '2013 FIA World Endurance Championship team AF Corse']], [[5, '2013 FIA World Endurance Championship team Audi Sport Team Joest']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[7, '2013 FIA World Endurance Championship team Greaves Motorsport']], [[8, '2013 FIA World Endurance Championship team OAK Racing']], [[9, '2014 Tour of Turkey team Cofidis']], [[9, '2014 Tour of Turkey team Cofidis'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']]]	1	1
bool	P54	Does National Hockey League play for Detroit Red Wings?	['TRUE']	[[4]]	[[[0, 'National Hockey League team Edmonton Oilers']], [[1, 'National Hockey League team Montreal Canadiens']], [[2, 'National Hockey League team New York Rangers']], [[4, 'National Hockey League team Detroit Red Wings']]]	1	1
bool	P54	Is 2013 FIA World Endurance Championship part of Wales?	['FALSE']	None	[[[0, '2013 FIA World Endurance Championship team Larbre Compétition']], [[1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']], [[2, '2013 FIA World Endurance Championship team Larbre Compétition']]]	0	0
set	P54	1997 World Artistic Gymnastics Championships is a member of which teams?	[]	None	[[]]	0	0
bool	P118	Does Pali Blues participate in 1st?	['FALSE']	[[4]]	[[[4, 'Pali Blues league W-League']]]	1	1
min/max	P118	Who has participated in the least number of leagues?	['FK Sarajevo', 'Paysandu Sport Club', 'Pali Blues']	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['2013 FIA World Endurance Championship']	None	[[]]	0	0
set	P54	List teams 2013 FIA World Endurance Championship plays for	['OAK Racing', 'Aston Martin Racing']	[[0, 5], [1, 4]]	[[[0, '2013 FIA World Endurance Championship team OAK Racing'], [1, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [3, '2013 FIA World Endurance Championship team Lotus']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [3, '2013 FIA World Endurance Championship team Lotus']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [3, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[3, '2013 FIA World Endurance Championship team Lotus'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[3, '2013 FIA World Endurance Championship team Lotus'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[3, '2013 FIA World Endurance Championship team Lotus'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[4, '2013 FIA World Endurance Championship team Aston Martin Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[4, '2013 FIA World Endurance Championship team Aston Martin Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[5, '2013 FIA World Endurance Championship team OAK Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']]]	1	1
min/max	P54	Who has played for the highest number of teams?	['UEFA Euro 2016']	[[2], [4], [6], [8]]	[[[0, 'UEFA Euro 2016 team Croatia']], [[2, 'UEFA Euro 2016 team Portugal']], [[4, 'UEFA Euro 2016 team Poland']], [[5, 'UEFA Euro 2016 team Albania']], [[9, 'Juventus F.C. team Barcelona']], [[0, 'UEFA Euro 2016 team Croatia'], [2, 'UEFA Euro 2016 team Portugal']], [[0, 'UEFA Euro 2016 team Croatia'], [4, 'UEFA Euro 2016 team Poland']], [[0, 'UEFA Euro 2016 team Croatia'], [5, 'UEFA Euro 2016 team Albania']], [[0, 'UEFA Euro 2016 team Croatia'], [9, 'Juventus F.C. team Barcelona']], [[2, 'UEFA Euro 2016 team Portugal'], [4, 'UEFA Euro 2016 team Poland']], [[2, 'UEFA Euro 2016 team Portugal'], [5, 'UEFA Euro 2016 team Albania']], [[2, 'UEFA Euro 2016 team Portugal'], [9, 'Juventus F.C. team Barcelona']], [[4, 'UEFA Euro 2016 team Poland'], [5, 'UEFA Euro 2016 team Albania']], [[4, 'UEFA Euro 2016 team Poland'], [9, 'Juventus F.C. team Barcelona']], [[5, 'UEFA Euro 2016 team Albania'], [9, 'Juventus F.C. team Barcelona']]]	0	1
count	P54	How many teams has National Hockey League played for?	[]	None	[[]]	0	0
count	P54	How many teams has Iowa played for?	[1]	[[1]]	[[[1, 'Iowa team Iowa Hawkeyes wrestling']]]	1	1
count	P54	How many people play for Portugal?	[1]	None	[[]]	0	0
count	P54	How many teams has UEFA Euro 2016 played for?	[2]	[[2], [3]]	[[[1, '2017 Grand Prix de Denain team FDJ']], [[2, 'UEFA Euro 2016 team Slovakia']], [[3, 'UEFA Euro 2016 team Switzerland']], [[4, 'UEFA Euro 2016 team Portugal']], [[3, 'UEFA Euro 2016 team Switzerland'], [2, 'UEFA Euro 2016 team Slovakia']], [[3, 'UEFA Euro 2016 team Switzerland'], [4, 'UEFA Euro 2016 team Portugal']], [[4, 'UEFA Euro 2016 team Portugal'], [2, 'UEFA Euro 2016 team Slovakia']]]	1	1
bool	P118	Does Paysandu Sport Club participate in B.?	[]	[]	[[[0, 'Paysandu Sport Club division B.']]]	1	1
set	P54	Atlanta Falcons is a member of which teams?	['New York Jets', 'Detroit Lions']	[[0], [4]]	[[[0, 'Atlanta Falcons team New York Jets']], [[1, 'Atlanta Falcons team Pittsburgh Steelers']], [[2, 'Atlanta Falcons team Philadelphia Eagles']], [[3, 'Philadelphia team Eagles']], [[4, 'Atlanta Falcons team Detroit Lions']], [[9, 'Atlanta Falcons team Buffalo Bills']], [[3, 'Philadelphia team Eagles'], [0, 'Atlanta Falcons team New York Jets']], [[3, 'Philadelphia team Eagles'], [2, 'Atlanta Falcons team Philadelphia Eagles']], [[3, 'Philadelphia team Eagles'], [4, 'Atlanta Falcons team Detroit Lions']]]	1	1
count	P54	How many teams has Aaron Telitz played for?	[]	None	[[]]	0	0
set	P118	Who participates in Championship?	['Doncaster Rovers F.C.']	None	[[]]	0	0
count	P118	How many participants are there in C.?	[]	None	[[]]	0	0
min/max	P54	Who has played for the highest number of teams?	['2014 Tour of Turkey']	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['2014 Tour of Turkey', '2013 FIA World Endurance Championship']	[[0], [2, 4, 5, 7], [8], [9]]	[[[0, 'Atlanta Falcons team Baltimore Ravens']], [[9, 'Atlanta Falcons team New England Patriots']]]	0	1
bool	P54	Is 2013 FIA World Endurance Championship part of Baltimore Ravens?	['FALSE']	[[1], [8]]	[[[1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']], [[8, '2013 FIA World Endurance Championship team Lotus']]]	1	1
bool	P54	Does National Hockey League play for Iowa State Cyclones football?	['FALSE']	[[4], [6], [7]]	[[[0, 'National Hockey League team Toronto Maple Leafs']], [[4, 'National Hockey League team Colorado Avalanche']], [[5, 'Iowa team Iowa State Cyclones football']], [[6, 'National Hockey League team Boston Bruins']], [[7, 'National Hockey League team Pittsburgh Penguins']]]	1	1
set	P54	Who plays for Iowa Hawkeyes football?	['Iowa']	[[9]]	[[[5, 'Iowa team Iowa State Cyclones football']], [[8, 'Indiana league National Football League']], [[9, 'Iowa team Iowa Hawkeyes football']]]	1	1
min/max	P118	What league has the fewest participants?	['National Football League']	[[8]]	[[[8, 'Indiana league National Football League']]]	1	1
bool	P54	Does National Hockey League play for Iowa Hawkeyes football?	['FALSE']	[[0]]	[[[0, 'National Hockey League team Toronto Maple Leafs']], [[4, 'National Hockey League team Colorado Avalanche']], [[5, 'Iowa team Iowa State Cyclones football']], [[6, 'National Hockey League team Boston Bruins']], [[7, 'National Hockey League team Pittsburgh Penguins']], [[9, 'Iowa team Iowa Hawkeyes football']]]	1	1
set	P118	What league does Paysandu Sport Club play for?	['B.']	[[2]]	[[[2, 'Paysandu Sport Club division B.']]]	1	1
count	P54	How many teams has National Hockey League played for?	[1]	[[8]]	[[[8, 'National Hockey League team Detroit Red Wings']]]	1	1
min/max	P54	Who has played for the least number of different teams?	['1997 World Artistic Gymnastics Championships']	[[2], [4], [8]]	[[[0, '2010 FIFA World Cup team South Africa']], [[4, 'Atlanta Falcons team Buffalo Bills']], [[6, '2010 FIFA World Cup team Ghana']], [[8, 'Atlanta Falcons team Baltimore Ravens']]]	0	1
set	P54	2010 FIFA World Cup is a member of which teams?	['Japan']	[[4]]	[[], [[1, 'UEFA Euro 2016 team Hungary']], [[2, '2010 FIFA World Cup team Argentina']], [[3, '2010 FIFA World Cup team Greece']], [[4, '2010 FIFA World Cup team Japan']], [[5, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[6, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[7, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[1, 'UEFA Euro 2016 team Hungary'], [3, '2010 FIFA World Cup team Greece']]]	1	1
min/max	P54	Who has played for the least teams?	['2013 FIA World Endurance Championship']	None	[[[1, 'UEFA Euro 2016 team Hungary']], [[2, '2010 FIFA World Cup team Argentina']], [[3, '2010 FIFA World Cup team Greece']], [[9, '2010 FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Hungary'], [2, '2010 FIFA World Cup team Argentina']], [[1, 'UEFA Euro 2016 team Hungary'], [3, '2010 FIFA World Cup team Greece']], [[1, 'UEFA Euro 2016 team Hungary'], [4, '2010 FIFA World Cup team Japan']], [[1, 'UEFA Euro 2016 team Hungary'], [9, '2010 FIFA World Cup team Brazil']], [[2, '2010 FIFA World Cup team Argentina'], [3, '2010 FIFA World Cup team Greece']], [[2, '2010 FIFA World Cup team Argentina'], [4, '2010 FIFA World Cup team Japan']], [[2, '2010 FIFA World Cup team Argentina'], [9, '2010 FIFA World Cup team Brazil']], [[3, '2010 FIFA World Cup team Greece'], [9, '2010 FIFA World Cup team Brazil']], [[9, '2010 FIFA World Cup team Brazil'], [4, '2010 FIFA World Cup team Japan']]]	0	0
set	P54	1962 FIFA World Cup is a member of which teams?	['Colombia', 'West Germany']	[[0], [6]]	[[[0, '1962 FIFA World Cup team West Germany']], [[2, '1962 FIFA World Cup team Czechoslovakia']], [[6, '1962 FIFA World Cup team Colombia']], [[7, '1962 FIFA World Cup team Argentina']], [[8, '1962 FIFA World Cup team Chile']], [[9, 'Doncaster Rovers F.C. league Championship']]]	1	1
bool	P118	Does Paysandu Sport Club participate in Second League?	['FALSE']	[[4]]	[[[4, 'Paysandu Sport C.lub division C.']]]	1	1
bool	P54	Is 1962 FIFA World Cup part of Cofidis?	['FALSE']	[[0], [6], [8]]	[[[0, '1962 FIFA World Cup team West Germany']], [[2, '1962 FIFA World Cup team Czechoslovakia']], [[6, '1962 FIFA World Cup team Colombia']], [[7, '1962 FIFA World Cup team Argentina']], [[8, '1962 FIFA World Cup team Chile']]]	1	1
min/max	P54	What is the smallest team?	['West Germany', 'Franca', 'Cofidis', 'Argentina']	None	[[]]	0	0
set	P118	Who plays in Second League?	['OFC Nesebar']	None	[[]]	0	0
count	P54	How many people play for Czechoslovakia?	[1]	None	[[]]	0	0
min/max	P54	Who has played for the least teams?	['2013 FIA World Endurance Championship', 'Atlanta Falcons']	None	[[[4, 'Atlanta Falcons team Buffalo Bills']], [[8, 'Atlanta Falcons team Miami Dolphins']]]	0	0
set	P54	List teams 2013 FIA World Endurance Championship plays for	['8 Star Motorsports', 'Rebellion Racing']	[[3], [7]]	[[[3, '2013 FIA World Endurance Championship team 8 Star Motorsports'], [7, '2013 FIA World Endurance Championship team Rebellion Racing']]]	0	1
bool	P54	Is Atlanta Falcons part of 8 Star Motorsports?	['FALSE']	[[8]]	[[[4, 'Atlanta Falcons team Buffalo Bills']], [[8, 'Atlanta Falcons team Miami Dolphins']]]	1	1
set	P54	Cypriot First Division is a member of which teams?	[]	None	[[]]	0	0
count	P54	How many people play for Miami Dolphins?	[1]	[[8]]	[[[4, 'Atlanta Falcons team Buffalo Bills']], [[8, 'Atlanta Falcons team Miami Dolphins']], [[4, 'Atlanta Falcons team Buffalo Bills'], [8, 'Atlanta Falcons team Miami Dolphins']]]	1	1
count	P118	How many people play in South?	[1]	[[4]]	[[[4, 'Alabama league South']]]	1	1
min/max	P54	Which team has the least players?	['Elena Grosheva', 'United States', 'Cincinnati Bengals', 'Dmitri Vasilenko']	None	[[[3, 'Atlanta Falcons team Cincinnati Bengals']], [[5, 'Atlanta Falcons team Philadelphia Eagles']]]	0	0
min/max	P54	Who has played for the most number of teams?	['1997 World Artistic Gymnastics Championships', 'Atlanta Falcons']	[[1], [3], [5], [6]]	[[[3, 'Atlanta Falcons team Cincinnati Bengals']], [[5, 'Atlanta Falcons team Philadelphia Eagles']], [[7, '2010 FIFA World Cup team Australia']], [[3, 'Atlanta Falcons team Cincinnati Bengals'], [7, '2010 FIFA World Cup team Australia']], [[5, 'Atlanta Falcons team Philadelphia Eagles'], [7, '2010 FIFA World Cup team Australia']]]	0	1
count	P54	How many teams has 1997 World Artistic Gymnastics Championships played for?	[3]	[[1], [3], [5]]	[[[1, '1997 World Artistic Gymnastics Championships team Belarus']], [[2, '1997 World Artistic Gymnastics Championships team Russia']], [[3, '1997 World Artistic Gymnastics Championships team Shigeru Kurihara']], [[5, '1997 World Artistic Gymnastics Championships team Elena Dolgopolova']], [[6, '1997 World Artistic Gymnastics Championships team Mirela Țugurlan']], [[8, '1997 World Artistic Gymnastics Championships team Alexei Nemov']], [[9, '1997 World Artistic Gymnastics Championships team Zhou Duan']]]	1	1
bool	P54	Does 1997 World Artistic Gymnastics Championships play for Zhou Duan?	['TRUE']	[[9]]	[[[1, '1997 World Artistic Gymnastics Championships team Belarus']], [[2, '1997 World Artistic Gymnastics Championships team Russia']], [[5, '1997 World Artistic Gymnastics Championships team Elena Dolgopolova']], [[6, '1997 World Artistic Gymnastics Championships team Mirela Țugurlan']], [[8, '1997 World Artistic Gymnastics Championships team Alexei Nemov']], [[9, '1997 World Artistic Gymnastics Championships team Zhou Duan']]]	1	1
count	P54	How many teams has Juventus F.C. played for?	[1]	[[0]]	[[[0, 'Juventus F.C. team Barcelona']]]	1	1
bool	P54	Is 1997 World Artistic Gymnastics Championships part of Barcelona?	['FALSE']	[[1], [3]]	[[[1, '1997 World Artistic Gymnastics Championships team Belarus']], [[2, '1997 World Artistic Gymnastics Championships team Russia']], [[3, '1997 World Artistic Gymnastics Championships team Shigeru Kurihara']]]	1	1
set	P54	Who is a member of Shigeru Kurihara?	['1997 World Artistic Gymnastics Championships']	[[3]]	[[[3, '1997 World Artistic Gymnastics Championships team Shigeru Kurihara']]]	1	1
min/max	P54	Who has played for the least teams?	['Juventus F.C.']	None	[[[0, 'Juventus F.C. team Barcelona']]]	0	0
bool	P54	Is 2013 FIA World Endurance Championship part of OAK Racing?	['TRUE']	[[7]]	[[[7, '2013 FIA World Endurance Championship team OAK Racing']]]	1	1
min/max	P54	Who has played for the fewest teams?	['Mexico City', '1962 FIFA World Cup']	None	[[[4, '1962 FIFA World Cup team England']], [[7, '1962 FIFA World Cup team West Germany']], [[8, '1962 FIFA World Cup team Soviet Union']]]	0	0
set	P54	AFC Asian Cup is a member of which teams?	['Iraq', 'North Korea', 'Japan']	[[2], [4], [8]]	[[[2, 'AFC Asian Cup team Japan']], [[4, 'AFC Asian Cup team North Korea']], [[5, 'AFC Asian Cup team Australia']], [[6, 'AFC Asian Cup team India']], [[8, 'AFC Asian Cup team Iraq']]]	1	1
min/max	P54	What is the team with the most players?	['Philippines', 'Red Bull Racing']	[[0], [3]]	[[[1, '1962 FIFA World Cup team Uruguay']], [[4, 'AFC Asian Cup team North Korea']], [[5, 'AFC Asian Cup team Australia']], [[1, '1962 FIFA World Cup team Uruguay'], [3, 'Red Bull RB3 team Red Bull Racing']], [[1, '1962 FIFA World Cup team Uruguay'], [5, 'AFC Asian Cup team Australia']], [[4, 'AFC Asian Cup team North Korea'], [2, 'AFC Asian Cup team Japan']], [[4, 'AFC Asian Cup team North Korea'], [3, 'Red Bull RB3 team Red Bull Racing']], [[4, 'AFC Asian Cup team North Korea'], [5, 'AFC Asian Cup team Australia']], [[5, 'AFC Asian Cup team Australia'], [2, 'AFC Asian Cup team Japan']], [[5, 'AFC Asian Cup team Australia'], [3, 'Red Bull RB3 team Red Bull Racing']]]	0	1
