query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
min/max	P54	Who has played for the fewest teams?	['FIFA World Cup']	[[0, 6], [2, 7], [5]]	[[[0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland']], [[2, 'FIFA World Cup team Uruguay']], [[3, 'FIFA World Cup team Italy']], [[4, 'FIFA World Cup team Turkey']], [[5, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil']], [[7, 'FIFA World Cup team Uruguay']], [[8, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Brazil'], [2, 'FIFA World Cup team Uruguay']], [[0, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Italy']], [[0, 'FIFA World Cup team Brazil'], [4, 'FIFA World Cup team Turkey']], [[0, 'FIFA World Cup team Brazil'], [5, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Brazil'], [6, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team Uruguay']], [[0, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Croatia']], [[1, 'UEFA Euro 2016 team Poland'], [0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland'], [3, 'FIFA World Cup team Italy']], [[1, 'UEFA Euro 2016 team Poland'], [4, 'FIFA World Cup team Turkey']], [[1, 'UEFA Euro 2016 team Poland'], [5, 'FIFA World Cup team Bulgaria']], [[1, 'UEFA Euro 2016 team Poland'], [6, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland'], [8, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Uruguay'], [1, 'UEFA Euro 2016 team Poland']], [[2, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Italy']], [[2, 'FIFA World Cup team Uruguay'], [4, 'FIFA World Cup team Turkey']], [[2, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Bulgaria']], [[2, 'FIFA World Cup team Uruguay'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Uruguay'], [7, 'FIFA World Cup team Uruguay']], [[2, 'FIFA World Cup team Uruguay'], [8, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Italy'], [4, 'FIFA World Cup team Turkey']], [[3, 'FIFA World Cup team Italy'], [5, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Italy'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Croatia']], [[4, 'FIFA World Cup team Turkey'], [5, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team Turkey'], [6, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team Turkey'], [7, 'FIFA World Cup team Uruguay']], [[4, 'FIFA World Cup team Turkey'], [8, 'FIFA World Cup team Croatia']], [[5, 'FIFA World Cup team Bulgaria'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Bulgaria'], [8, 'FIFA World Cup team Croatia']], [[6, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team Uruguay']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Croatia']], [[7, 'FIFA World Cup team Uruguay'], [1, 'UEFA Euro 2016 team Poland']], [[7, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Italy']], [[7, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Bulgaria']], [[7, 'FIFA World Cup team Uruguay'], [8, 'FIFA World Cup team Croatia']]]	1	1
set	P54	FIFA World Cup is a member of which teams?	['South Korea', 'Netherlands', 'Belgium', 'Italy']	[[2], [5], [7], [9]]	[[[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Portugal']], [[5, 'FIFA World Cup team Italy']], [[7, 'FIFA World Cup team Belgium']], [[9, 'FIFA World Cup team Netherlands']]]	1	1
set	P54	Who plays for Argentina?	['FIFA World Cup']	[[0]]	[[[0, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Argentina'], [6, 'UEFA Euro 2016 team Romania']], [[0, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Argentina'], [9, 'UEFA Euro 2016 team Romania']]]	1	1
bool	P54	Is FIFA World Cup part of Argentina?	['TRUE']	[[0]]	[[[0, 'FIFA World Cup team Argentina']], [[6, 'UEFA Euro 2016 team Romania']], [[8, 'FIFA World Cup team Austria']], [[9, 'UEFA Euro 2016 team Romania']], [[0, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[6, 'UEFA Euro 2016 team Romania'], [8, 'FIFA World Cup team Austria']], [[9, 'UEFA Euro 2016 team Romania'], [8, 'FIFA World Cup team Austria']]]	1	1
min/max	P118	What league has the fewest participants?	[]	[]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']]]	1	1
min/max	P54	Who has played for the fewest teams?	['Cypriot First Division']	[[4], [5], [9]]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Hungary']], [[4, 'FIFA World Cup team South Korea']], [[5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil']], [[8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team Croatia'], [3, 'FIFA World Cup team Hungary']], [[1, 'FIFA World Cup team Croatia'], [4, 'FIFA World Cup team South Korea']], [[1, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Croatia'], [6, 'FIFA World Cup team Brazil']], [[1, 'FIFA World Cup team Croatia'], [8, 'FIFA World Cup team Bulgaria']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Hungary']], [[2, 'FIFA World Cup team Sweden'], [4, 'FIFA World Cup team South Korea']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Hungary'], [4, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Hungary'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Hungary'], [8, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team South Korea'], [5, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team South Korea'], [6, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Bulgaria']], [[5, 'FIFA World Cup team Austria'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Bulgaria']]]	0	1
count	P54	How many teams has FIFA World Cup played for?	[2]	[[0], [1]]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']]]	1	1
count	P54	How many teams has FIFA World Cup played for?	[5]	[[0], [1], [2], [6], [8]]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Hungary']], [[4, 'FIFA World Cup team South Korea']], [[5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil']], [[8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team Croatia'], [3, 'FIFA World Cup team Hungary']], [[1, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Croatia'], [6, 'FIFA World Cup team Brazil']], [[1, 'FIFA World Cup team Croatia'], [8, 'FIFA World Cup team Bulgaria']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Hungary']], [[2, 'FIFA World Cup team Sweden'], [4, 'FIFA World Cup team South Korea']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Hungary'], [4, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Hungary'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Hungary'], [8, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team South Korea'], [1, 'FIFA World Cup team Croatia']], [[4, 'FIFA World Cup team South Korea'], [5, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team South Korea'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Austria'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Bulgaria']]]	1	1
bool	P54	Is FIFA World Cup a member of ASIL Lysi?	['FALSE']	[[0], [1], [2], [3], [4], [5], [6], [8]]	[[], [[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Hungary']], [[4, 'FIFA World Cup team South Korea']], [[5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil']], [[8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Hungary']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Hungary'], [1, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team South Korea'], [5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil'], [1, 'FIFA World Cup team Croatia']], [[6, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Hungary']], [[6, 'FIFA World Cup team Brazil'], [5, 'FIFA World Cup team Austria']], [[8, 'FIFA World Cup team Bulgaria'], [1, 'FIFA World Cup team Croatia']], [[8, 'FIFA World Cup team Bulgaria'], [5, 'FIFA World Cup team Austria']]]	1	1
min/max	P54	Who has played for the fewest teams?	['Ýokary Liga']	[[0], [1], [4]]	[[[0, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team South Korea']], [[4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey']], [[8, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Italy'], [3, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Italy'], [4, 'FIFA World Cup team Netherlands']], [[0, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team South Korea'], [4, 'FIFA World Cup team Netherlands']], [[3, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Sweden']], [[4, 'FIFA World Cup team Netherlands'], [8, 'FIFA World Cup team Sweden']], [[6, 'UEFA Euro 2016 team Turkey'], [0, 'FIFA World Cup team Italy']], [[6, 'UEFA Euro 2016 team Turkey'], [3, 'FIFA World Cup team South Korea']], [[6, 'UEFA Euro 2016 team Turkey'], [4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey'], [8, 'FIFA World Cup team Sweden']]]	0	1
count	P54	How many teams has Ýokary Liga played for?	[1]	None	[[]]	0	0
bool	P54	Is AIK Fotboll part of Sweden?	[]	None	[[]]	0	0
min/max	P54	Which team has the least players?	['Nisa Aşgabat', 'South Korea', 'Gazojak', 'Turkey', 'Rijeka', 'Sweden', 'FC Ararat-Armenia']	[[2], [3], [5], [6], [7], [8], [9]]	[[[0, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team South Korea']], [[4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey']], [[8, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Italy'], [3, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Italy'], [4, 'FIFA World Cup team Netherlands']], [[0, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team South Korea'], [4, 'FIFA World Cup team Netherlands']], [[3, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Sweden']], [[4, 'FIFA World Cup team Netherlands'], [8, 'FIFA World Cup team Sweden']], [[6, 'UEFA Euro 2016 team Turkey'], [0, 'FIFA World Cup team Italy']], [[6, 'UEFA Euro 2016 team Turkey'], [3, 'FIFA World Cup team South Korea']], [[6, 'UEFA Euro 2016 team Turkey'], [4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey'], [8, 'FIFA World Cup team Sweden']]]	0	1
bool	P118	Is Barcelona a participant of zone 1?	['FALSE']	None	[[]]	0	0
count	P54	How many people play for Bulgaria?	[]	None	[[]]	0	0
min/max	P118	Who has played in the fewest leagues?	[]	None	[[]]	0	0
bool	P54	Does FC Girondins de Bordeaux play for FC Aşgabat?	['FALSE']	[[7]]	[[[7, 'FC Girondins de Bordeaux team Lille']]]	1	1
min/max	P118	Who has played in the fewest leagues?	[]	None	[[]]	0	0
count	P54	How many teams has FIFA World Cup played for?	[4]	[[1], [4], [5], [7]]	[[[0, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team Uruguay']], [[3, 'FIFA World Cup team Turkey']], [[4, 'FIFA World Cup team Hungary']], [[5, 'FIFA World Cup team Chile']], [[7, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Bulgaria'], [4, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Bulgaria'], [7, 'FIFA World Cup team Brazil']], [[1, 'FIFA World Cup team Uruguay'], [0, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Turkey']], [[1, 'FIFA World Cup team Uruguay'], [4, 'FIFA World Cup team Hungary']], [[1, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Chile']], [[1, 'FIFA World Cup team Uruguay'], [7, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Turkey'], [0, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Turkey'], [4, 'FIFA World Cup team Hungary']], [[3, 'FIFA World Cup team Turkey'], [5, 'FIFA World Cup team Chile']], [[3, 'FIFA World Cup team Turkey'], [7, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Chile']], [[4, 'FIFA World Cup team Hungary'], [7, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Chile'], [0, 'FIFA World Cup team Bulgaria']], [[5, 'FIFA World Cup team Chile'], [7, 'FIFA World Cup team Brazil']]]	1	1
min/max	P118	What league has the most participants?	['Regionalliga Südwest']	None	[[[1, 'FIFA World Cup team South Korea']], [[2, 'UEFA Euro 2016 team Romania']], [[7, 'UEFA Euro 2016 team Romania']], [[2, 'UEFA Euro 2016 team Romania'], [1, 'FIFA World Cup team South Korea']], [[2, 'UEFA Euro 2016 team Romania'], [7, 'UEFA Euro 2016 team Romania']], [[7, 'UEFA Euro 2016 team Romania'], [1, 'FIFA World Cup team South Korea']]]	0	0
bool	P54	Does FC Girondins de Bordeaux play for Lille?	['TRUE']	[[4]]	[[[4, 'FC Girondins de Bordeaux team Lille']], [[5, 'FC Girondins de Bordeaux team Nice']], [[6, 'FC Girondins de Bordeaux team Bordeaux']]]	1	1
min/max	P54	Who has played for the fewest teams?	['VfL Wolfsburg']	None	[[[1, 'FIFA World Cup team South Korea']], [[2, 'UEFA Euro 2016 team Romania']], [[7, 'UEFA Euro 2016 team Romania']], [[9, 'FIFA World Cup team Argentina']], [[2, 'UEFA Euro 2016 team Romania'], [1, 'FIFA World Cup team South Korea']], [[2, 'UEFA Euro 2016 team Romania'], [7, 'UEFA Euro 2016 team Romania']], [[2, 'UEFA Euro 2016 team Romania'], [9, 'FIFA World Cup team Argentina']], [[7, 'UEFA Euro 2016 team Romania'], [1, 'FIFA World Cup team South Korea']], [[7, 'UEFA Euro 2016 team Romania'], [9, 'FIFA World Cup team Argentina']], [[9, 'FIFA World Cup team Argentina'], [1, 'FIFA World Cup team South Korea']]]	0	0
min/max	P54	Which team has the fewest players?	['South Korea']	[[1]]	[[[1, 'FIFA World Cup team South Korea']], [[2, 'UEFA Euro 2016 team Romania']]]	1	1
set	P118	What league is SC Freiburg participant of?	['Regionalliga Südwest']	[[0]]	[[[0, 'SC Freiburg division Regionalliga Südwest']], [[1, 'FIFA World Cup team South Korea']], [[3, 'VfL Wolfsburg team Valencia']], [[9, 'FIFA World Cup team Argentina']]]	1	1
min/max	P54	Who has played for the least teams?	['FIFA World Cup']	[[0], [5], [8]]	[[[0, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Argentina']], [[5, 'FIFA World Cup team Italy']], [[8, 'FIFA World Cup team Bulgaria']], [[9, 'FIFA World Cup team England']], [[0, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Brazil'], [5, 'FIFA World Cup team Italy']], [[0, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Brazil'], [9, 'FIFA World Cup team England']], [[3, 'FIFA World Cup team Argentina'], [5, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Argentina'], [9, 'FIFA World Cup team England']], [[5, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Bulgaria']], [[5, 'FIFA World Cup team Italy'], [9, 'FIFA World Cup team England']], [[8, 'FIFA World Cup team Bulgaria'], [9, 'FIFA World Cup team England']]]	1	1
bool	P54	Does FIFA World Cup play for Diablos Rojos del México?	['FALSE']	[[0]]	[[[0, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Argentina']]]	1	1
bool	P54	Does FC Girondins de Bordeaux play for Bulgaria?	['FALSE']	[[1]]	[[[0, 'FIFA World Cup team Brazil']], [[1, 'FC Girondins de Bordeaux team Strasbourg']], [[2, 'FC Girondins de Bordeaux team Bordeaux']], [[3, 'FIFA World Cup team Argentina']], [[5, 'FIFA World Cup team Italy']], [[7, 'FC Girondins de Bordeaux team Nice']]]	1	1
min/max	P118	Who has participated in the least number of leagues?	[]	None	[[]]	0	0
set	P54	Who is a member of Brazil?	['FIFA World Cup']	None	[[]]	0	0
count	P54	How many people play for Nisa Aşgabat?	[]	None	[[]]	0	0
set	P54	VfL Wolfsburg is a member of which teams?	['Valencia', 'Anderlecht']	[[4], [7]]	[[[4, 'VfL Wolfsburg team Valencia']], [[6, 'FIFA World Cup team Austria']], [[7, 'VfL Wolfsburg team Anderlecht']]]	1	1
count	P54	How many people play for Valencia?	[]	None	[[]]	0	0
min/max	P54	Which team has the least players?	['Nisa Aşgabat', 'FC Aşgabat', 'Sweden', 'Valencia']	[[1], [2], [3], [4]]	[[[3, 'FIFA World Cup team Sweden']], [[6, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Austria']]]	0	1
bool	P54	Is FIFA World Cup a member of Nice?	['FALSE']	[[0], [2], [8]]	[[[0, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Belgium']], [[5, 'FIFA World Cup team Portugal']], [[7, 'FIFA World Cup team Croatia']], [[8, 'FIFA World Cup team Poland']], [[0, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Poland']], [[2, 'FIFA World Cup team Sweden'], [0, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Poland']], [[3, 'FIFA World Cup team Belgium'], [0, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Belgium'], [7, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Poland']], [[5, 'FIFA World Cup team Portugal'], [0, 'FIFA World Cup team Austria']], [[5, 'FIFA World Cup team Portugal'], [7, 'FIFA World Cup team Croatia']], [[5, 'FIFA World Cup team Portugal'], [8, 'FIFA World Cup team Poland']], [[7, 'FIFA World Cup team Croatia'], [0, 'FIFA World Cup team Austria']]]	1	1
min/max	P54	Who has played for the least number of different teams?	['FIFA World Cup']	[[0], [5], [7], [8]]	[[[0, 'FIFA World Cup team Austria']], [[1, 'Atlanta Falcons team Buffalo Bills']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Belgium']], [[5, 'FIFA World Cup team Portugal']], [[7, 'FIFA World Cup team Croatia']], [[8, 'FIFA World Cup team Poland']], [[0, 'FIFA World Cup team Austria'], [2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Austria'], [3, 'FIFA World Cup team Belgium']], [[0, 'FIFA World Cup team Austria'], [5, 'FIFA World Cup team Portugal']], [[0, 'FIFA World Cup team Austria'], [7, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Poland']], [[1, 'Atlanta Falcons team Buffalo Bills'], [0, 'FIFA World Cup team Austria']], [[1, 'Atlanta Falcons team Buffalo Bills'], [3, 'FIFA World Cup team Belgium']], [[1, 'Atlanta Falcons team Buffalo Bills'], [7, 'FIFA World Cup team Croatia']], [[1, 'Atlanta Falcons team Buffalo Bills'], [8, 'FIFA World Cup team Poland']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Belgium']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Portugal']], [[2, 'FIFA World Cup team Sweden'], [7, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Poland']], [[3, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Portugal']], [[3, 'FIFA World Cup team Belgium'], [7, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Poland']], [[5, 'FIFA World Cup team Portugal'], [7, 'FIFA World Cup team Croatia']], [[5, 'FIFA World Cup team Portugal'], [8, 'FIFA World Cup team Poland']], [[7, 'FIFA World Cup team Croatia'], [8, 'FIFA World Cup team Poland']]]	1	1
min/max	P54	Which team has the highest number of players?	['Buffalo Bills', 'Portugal', 'Lille', 'Croatia', 'Poland', 'Nice']	[[1], [5], [6], [7], [8], [9]]	[[[0, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Belgium']], [[7, 'FIFA World Cup team Croatia']], [[8, 'FIFA World Cup team Poland']], [[0, 'FIFA World Cup team Austria'], [2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Austria'], [3, 'FIFA World Cup team Belgium']], [[0, 'FIFA World Cup team Austria'], [5, 'FIFA World Cup team Portugal']], [[0, 'FIFA World Cup team Austria'], [7, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Poland']], [[3, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Portugal']], [[3, 'FIFA World Cup team Belgium'], [7, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Poland']], [[7, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']], [[7, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Portugal']], [[7, 'FIFA World Cup team Croatia'], [8, 'FIFA World Cup team Poland']], [[8, 'FIFA World Cup team Poland'], [2, 'FIFA World Cup team Sweden']], [[8, 'FIFA World Cup team Poland'], [5, 'FIFA World Cup team Portugal']]]	0	1
